epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,3829.68,0.36643,0.33841,0.86014,0.99354,1,0.995,0.98485,0.22801,0.26872,0.79287,0.000617,0.000617,0.000617
56,3900.35,0.3547,0.34583,0.86479,0.99589,1,0.995,0.98391,0.22103,0.26281,0.79257,0.000599506,0.000599506,0.000599506
57,3968.93,0.36468,0.36049,0.86446,0.99558,1,0.995,0.98371,0.21532,0.2592,0.7934,0.000582098,0.000582098,0.000582098
58,4037.47,0.37247,0.34273,0.8624,0.99432,1,0.995,0.97611,0.2316,0.26381,0.79363,0.000564794,0.000564794,0.000564794
59,4106.01,0.37925,0.3495,0.85607,0.99468,1,0.995,0.98108,0.22415,0.26524,0.79293,0.000547612,0.000547612,0.000547612
60,4174.57,0.36367,0.37082,0.86333,0.995,1,0.995,0.97993,0.2197,0.25866,0.7925,0.000530568,0.000530568,0.000530568
61,4243.18,0.35254,0.33198,0.8624,0.98959,0.99701,0.995,0.98221,0.21641,0.25874,0.79127,0.000513678,0.000513678,0.000513678
62,4311.98,0.34858,0.33467,0.87222,0.99476,1,0.995,0.98071,0.21164,0.24725,0.79198,0.00049696,0.00049696,0.00049696
63,4380.35,0.33981,0.33337,0.85707,0.99507,1,0.995,0.98252,0.21177,0.24834,0.79272,0.00048043,0.00048043,0.00048043
64,4448.94,0.34043,0.32238,0.85618,0.99492,1,0.995,0.98003,0.2151,0.24105,0.79277,0.000464104,0.000464104,0.000464104
65,4517.58,0.33886,0.31278,0.8501,0.99503,1,0.995,0.98143,0.21713,0.24436,0.7915,0.000447999,0.000447999,0.000447999
66,4586.15,0.33516,0.30891,0.85616,0.99575,1,0.995,0.98402,0.20649,0.237,0.79185,0.00043213,0.00043213,0.00043213
67,4654.58,0.30792,0.31488,0.84679,0.99634,1,0.995,0.98162,0.1989,0.23488,0.79097,0.000416514,0.000416514,0.000416514
68,4723.5,0.34452,0.31299,0.84139,0.9964,1,0.995,0.98485,0.19653,0.23161,0.79051,0.000401164,0.000401164,0.000401164
69,4792,0.3325,0.31501,0.84412,0.99645,1,0.995,0.98487,0.19264,0.23173,0.78846,0.000386097,0.000386097,0.000386097
70,4860.43,0.35121,0.34362,0.87613,0.99639,1,0.995,0.98592,0.19332,0.22196,0.78722,0.000371328,0.000371328,0.000371328
71,4929.05,0.32999,0.31112,0.84105,0.99631,1,0.995,0.98542,0.19419,0.22737,0.78774,0.000356871,0.000356871,0.000356871
72,4997.51,0.33664,0.31059,0.84062,0.99357,1,0.995,0.98601,0.19388,0.23855,0.78736,0.00034274,0.00034274,0.00034274
